smoothed_wcli,smoothed_wlarge_event_1d,smoothed_wrestaurant_1d,smoothed_wspent_time_1d,smoothed_wwork_outside_home_1d,smoothed_wothers_masked,smoothed_wcovid_vaccinated,smoothed_wtested_positive_14d
1.8947205,3.8057534,3.8588985,21.2393484,25.4036801,90.7769288,3.1553614,21.2258078
1.0678568,7.7375232,14.4976325,28.7596612,26.9968632,71.9467752,5.2629816,12.2484136
1.0612848140450895,7.279319406687321,13.280292648257165,29.540826334495225,31.864066317221795,82.04640820843807,4.9726965,9.9206308
0.86923,4.5333258,8.8081291,24.5938161,21.4804013,95.2310678,5.3947682,11.8120651
0.7565286,4.8542592,8.094271,26.8808954,23.7301385,93.7362891,6.1019509,16.0355067
0.9616872,6.0624498,10.010441,27.2564451,25.2215346,91.3239747,5.5831724,16.173332
1.0612848140450895,7.279319406687321,13.280292648257165,29.540826334495225,31.864066317221795,82.04640820843807,4.3186024,14.3675177
0.3081413,4.9930157,10.1919803,25.1004751,26.3356918,91.245433,3.7948934,9.4581559
1.8585762,12.8720012,19.745732,35.2382952,26.9350722,51.5476064,5.4974006,20.3241607
0.9923366,6.7863153,17.4218941,31.6310181,23.7710163,83.256322,4.4190856,15.28745
1.1336523,9.8121353,16.5720732,27.9728934,28.4842499,73.9739813,5.5208203,30.1376575
0.8289423,10.5350743,19.0319104,32.5311082,27.5758496,78.668466,5.1161586,22.034827
1.1480431,8.4969254,13.6365145,26.6356677,25.4782876,83.8477644,2.2653346,20.7360649
1.4010361,9.9277464,19.5035817,31.6106008,29.7358303,82.4550586,5.0844336,21.1635323
0.6089341,8.9650426,18.4219138,29.6836186,25.0342988,83.7754632,4.9023101,15.5620467
1.1747523,11.0670116,21.8228252,32.490078,27.0724675,75.7605449,5.5119389,16.2291429
2.4455521,11.8793792,17.5816117,30.8536816,30.5187881,48.6340187,4.9989126,28.8604655
1.0612848140450895,7.279319406687321,13.280292648257165,29.540826334495225,31.864066317221795,82.04640820843807,5.7956526,4.3932355
0.9285729,15.5780949,18.8587702,40.7739982,32.271375,51.2270544,5.9673516,23.9857039
1.4149169,10.00313,14.7255935,35.3364193,30.7879582,67.8838359,6.3256831,19.2209078
0.7976068,5.4444591,6.8220887,26.7171646,25.8913409,91.3771357,5.4023671,13.2205949
1.2871085,11.3756608,18.6232387,36.2792027,33.2331889,67.2011068,5.2637236,24.1145875
1.10861,13.6344769,19.6902528,37.7795973,33.4104141,66.8842591,7.5285785,19.9174024
1.5796578,11.9279148,18.6921598,35.5741446,33.1641545,63.7265634,6.0727217,25.1456773
