smoothed_wshop_1d,smoothed_wwork_outside_home_1d,smoothed_wspent_time_1d,smoothed_wrestaurant_1d,smoothed_wlarge_event_1d,smoothed_wvaccine_likely_friends,smoothed_wcovid_vaccinated
49.8308804,22.4388702,26.4087843,12.8415641,6.1509279,31.8648563,3.1512512
45.3606519,18.9082223,33.1430405,14.805572,7.8832168,33.3977134,1.9075946
45.6465396,27.3768475,27.3336236,13.550908,7.620119,34.3111807,3.4273966
53.743418775829326,34.25071536428447,31.918883026428887,15.451650114358863,8.483991761684901,34.536913446036515,5.7956526
57.1057175,30.0872824,35.2044791,17.2707582,9.5029776,29.3354669,9.4956017
56.6661391,32.271375,40.7739982,18.8587702,15.5780949,25.0929357,5.9673516
52.7705753,27.8510944,36.606513,18.3730111,8.8809213,27.9597487,9.3191537
50.4818325,30.7879582,35.3364193,14.7255935,10.00313,27.2475842,6.3256831
47.9983126,25.8913409,26.7171646,6.8220887,5.4444591,35.8219958,5.4023671
44.6265662,24.4992568,27.3717139,6.8999402,4.8972873,37.4000373,7.5198871
46.8004102,28.4618045,30.1971232,8.931246,4.9476095,33.4699315,2.0349806
49.1507277,24.9635072,27.0279723,7.482836,4.2207847,33.8959231,4.2317889
48.8604201,27.0397231,30.0572578,10.5834191,6.2716917,32.8801162,3.4512598
51.787312,33.2331889,36.2792027,18.6232387,11.3756608,27.4091037,5.2637236
48.5832501,32.4939357,34.9934274,16.5076025,10.646381,32.7182503,7.42282
48.5986215,28.6260636,30.4967915,16.2489678,9.9682698,33.1945181,8.8427489
45.6634631,28.7781764,32.292063,15.4561263,8.0012616,34.4589787,5.1408065
53.6471237,33.4104141,37.7795973,19.6902528,13.6344769,29.5467205,7.5285785
50.8793497,29.9647729,34.09421,14.7604392,9.8336894,29.1520791,3.0319288
49.3299207,33.1641545,35.5741446,18.6921598,11.9279148,28.320188,6.0727217
50.3458485,35.7195549,31.402363,16.4138192,6.0786671,31.5263108,8.3454787
47.4745449,32.4616907,35.5157194,16.1974755,9.92291,27.4382327,7.0601133
48.5521052,27.5860344,32.6378712,14.6624242,8.863545,28.4671694,7.7514511
49.1271464,26.8645975,31.2928241,13.5265796,7.3085078,33.0590539,5.5930574
49.4703699,28.2321331,33.0506444,15.4686304,11.4627005,29.6480785,4.3661931
48.4583407,29.7119038,32.563906,14.983205,8.5006642,35.1168216,6.1999035
52.530114,29.417704,32.0443081,16.7031347,11.6341348,38.8715568,7.8026033
54.0591039,23.3443973,28.7673789,10.7627378,4.7116798,27.5801202,6.1083082
50.9065616,26.4946911,30.4314592,10.654826,5.6137578,30.5984798,8.3149429
51.4513028,26.7098481,30.494813,12.6695517,4.266683,27.9131456,5.8371163
43.1137665,25.5232845,22.9555461,7.5859318,3.0123172,30.1322326,2.2196068
39.237833,18.7925304,21.6547047,5.5122644,2.6591655,35.9090897,4.4734295
45.6165031,20.2267677,21.98775,4.7510284,4.4124872,41.4592216,5.0772756
53.743418775829326,34.25071536428447,31.918883026428887,15.451650114358863,8.483991761684901,34.536913446036515,5.1916347
47.2951295,24.7160634,24.5428797,10.0529304,4.1682433,33.9767588,6.8585765
47.5996034,25.3082047,26.1167591,8.7085839,3.6763388,32.6893758,4.7780035
44.8044038,21.7875295,22.6496599,7.8068792,3.0520122,35.1709096,2.5384028
48.8239738,27.3868531,27.0403224,9.5347148,4.6103538,33.0385693,5.4955195
51.7377949,27.7977449,34.698908,6.8113082,8.2869726,25.7817671,4.8252258
49.4946537,23.1103316,32.411093,4.1533123,6.7931495,29.4259531,6.2500349
49.0518183,28.9231539,31.9039226,4.769942,4.5425238,31.4120358,5.9075965
49.8791946,28.286711,30.9437741,5.0583399,5.3576352,26.0824674,7.353845
48.4977974,22.6381016,31.7342233,5.7615302,5.211135,30.5936868,4.3208556
47.587496,25.8848114,28.7106493,4.8966156,5.482793,27.6977972,6.2083014
52.4597334,33.2957184,38.2535071,9.0328165,10.1159004,31.144332,6.5223806
46.2279307,21.9175241,31.2663514,3.8693909,4.6128689,33.0254549,5.2671826
45.264415,22.6057496,24.7081399,3.6849872,3.6533684,31.0052908,4.1214081
50.7278627,29.6037029,34.754773,15.312012,11.5636442,31.0346102,4.4234982
51.6031999,30.4696594,34.7733272,18.8126097,12.5857938,26.2283072,6.0393329
53.5037617,33.7157202,29.6743168,14.6903865,8.5000885,30.1210199,8.3815649
48.2937423,27.2322367,32.7052408,14.4870682,7.7364506,29.774285,6.666419
46.1554715,25.8968072,28.0270082,9.8764607,6.2550159,33.5137503,2.4899312
54.4372684,31.1356826,36.6725805,20.5003605,10.6177357,25.5632549,8.9424043
49.9726308,38.0593187,37.7910451,22.1116594,13.8588245,29.5188214,7.0001944
